GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
38,ND,North Dakota,2013,11,2,N,9,3,N,2,1,N,1,1,N,6,6,N,2,2,N,2,2,N,1,1,N
39,OH,Ohio,2013,282,3,Y,134,3,Y,148,3,Y,75,4,Y,100,7,Y,53,4,Y,38,2,Y,15,0,Y
40,OK,Oklahoma,2013,43,1,Y,24,2,Y,19,1,Y,8,1,N,16,3,Y,9,2,N,7,1,N,3,0,N
41,OR,Oregon,2013,126,4,Y,69,4,Y,57,3,Y,26,4,Y,53,10,Y,23,4,Y,15,3,Y,9,1,N
42,PA,Pennsylvania,2013,508,5,Y,238,5,Y,270,5,Y,123,6,Y,204,13,Y,83,5,Y,56,3,Y,40,1,Y
44,RI,Rhode Island,2013,101,11,Y,63,14,Y,38,8,Y,17,9,Y,35,26,Y,25,20,Y,15,10,Y,9,3,N
45,SC,South Carolina,2013,79,2,Y,43,2,Y,36,2,Y,9,1,N,29,5,Y,16,3,Y,15,2,Y,9,1,N
46,SD,South Dakota,2013,14,2,Y,10,3,N,4,1,N,3,2,N,7,6,N,1,1,N,2,2,N,1,0,N
47,TN,Tennessee,2013,116,2,Y,68,3,Y,48,2,Y,15,1,Y,33,4,Y,37,4,Y,19,2,Y,12,1,Y
48,TX,Texas,2013,706,3,Y,428,4,Y,278,3,Y,93,2,Y,245,6,Y,170,5,Y,134,4,Y,64,1,Y
49,UT,Utah,2013,59,3,Y,40,4,Y,19,2,Y,10,2,N,30,7,Y,9,2,N,7,2,N,3,1,N
50,VT,Vermont,2013,7,1,N,3,1,N,4,1,N,1,1,N,2,3,N,2,3,N,1,1,N,1,1,N
51,VA,Virginia,2013,282,4,Y,149,4,Y,133,4,Y,54,4,Y,95,8,Y,56,5,Y,53,4,Y,25,1,Y
53,WA,Washington,2013,271,5,Y,165,6,Y,106,4,Y,32,3,Y,92,9,Y,78,9,Y,45,5,Y,24,1,Y
54,WV,West Virginia,2013,30,2,Y,16,2,Y,14,2,Y,6,2,N,7,3,N,8,3,N,7,3,N,2,0,N
55,WI,Wisconsin,2013,107,2,Y,67,3,Y,40,2,Y,21,2,Y,37,5,Y,22,3,Y,18,2,Y,9,1,N
56,WY,Wyoming,2013,7,1,N,4,2,N,3,1,N,1,1,N,3,4,N,1,1,N,-1,-1,N,2,1,N
72,PR,Puerto Rico,2013,15,0,Y,7,0,N,8,0,N,5,1,N,3,1,N,1,0,N,4,1,N,2,0,N
1,AL,Alabama,2014,175,4,Y,127,7,Y,48,2,Y,20,2,Y,62,10,Y,51,8,Y,27,4,Y,15,1,Y
2,AK,Alaska,2014,22,4,Y,18,6,Y,4,1,N,4,3,N,8,7,N,6,6,N,3,3,N,1,1,N
4,AZ,Arizona,2014,388,7,Y,275,10,Y,113,4,Y,53,5,Y,129,14,Y,108,13,Y,72,9,Y,27,1,Y
5,AR,Arkansas,2014,105,4,Y,74,6,Y,31,2,Y,16,3,Y,40,11,Y,26,7,Y,13,3,Y,10,1,N
6,CA,California,2014,3860,12,Y,3349,21,Y,511,3,Y,321,5,Y,1239,22,Y,1060,21,Y,885,17,Y,371,4,Y
8,CO,Colorado,2014,383,9,Y,277,12,Y,106,5,Y,65,8,Y,148,19,Y,100,14,Y,56,8,Y,14,1,Y
9,CT,Connecticut,2014,482,16,Y,303,20,Y,179,11,Y,91,15,Y,211,48,Y,94,21,Y,58,11,Y,29,3,Y
10,DE,Delaware,2014,92,12,Y,52,14,Y,40,10,Y,20,14,Y,32,26,Y,17,15,Y,17,13,Y,6,2,N
11,DC,District of Columbia,2014,425,75,Y,386,144,Y,39,13,Y,27,25,Y,148,99,Y,138,150,Y,79,102,Y,33,23,Y
12,FL,Florida,2014,1829,11,Y,1297,16,Y,532,6,Y,185,6,Y,631,25,Y,427,18,Y,402,15,Y,186,3,Y
13,GA,Georgia,2014,791,10,Y,583,15,Y,208,5,Y,92,5,Y,247,18,Y,225,16,Y,165,12,Y,64,3,Y
15,HI,Hawaii,2014,64,5,Y,49,8,Y,15,3,Y,10,5,N,21,10,Y,15,9,Y,8,4,N,10,2,N
16,ID,Idaho,2014,47,4,Y,34,5,Y,13,2,Y,8,3,N,20,9,Y,9,4,N,9,5,N,1,0,N
17,IL,Illinois,2014,1575,15,Y,1294,25,Y,281,5,Y,212,10,Y,609,34,Y,401,24,Y,250,14,Y,104,3,Y
18,IN,Indiana,2014,256,5,Y,176,7,Y,80,3,Y,36,3,Y,118,14,Y,53,6,Y,30,3,Y,17,1,Y
19,IA,Iowa,2014,148,6,Y,92,7,Y,56,4,Y,28,5,Y,52,13,Y,37,10,Y,24,6,Y,7,1,N
20,KS,Kansas,2014,127,5,Y,90,8,Y,37,3,Y,23,5,Y,49,13,Y,33,9,Y,16,4,Y,7,1,N
21,KY,Kentucky,2014,161,4,Y,106,6,Y,55,3,Y,33,5,Y,56,10,Y,42,7,Y,21,3,Y,9,1,N
22,LA,Louisiana,2014,256,7,Y,154,8,Y,102,5,Y,35,4,Y,87,13,Y,68,12,Y,41,7,Y,24,2,Y
